codigo,producto,stock,caducidad,icono
PZ33,LATA PEPSI ZERO,0,,
PZ500,PET PEPSI ZERO 500ML,0,,
QCAB,QUESO CABRA,0,,
QCHDNP,QUESO CHEDDAR NARANJA PICADO,0,,
QCHLO,QUESO CHEDDAR LONCHAS,0,,
QFCPJ,QUESO FUNDIDO IRL,0,,
QPRO,QUESO PROVOLONE,0,,
QRG,ZZ QUESO RALLADO GRATINAR,0,,
QSBR,QUESO SBRINZ,0,,
QTRU,QUESO TRUFADO 1 KG,0,,
RINCHE,RING DE CHEDDAR,0,,
RJGR,RUFFLES JAMON B.GRANDE 150GR,0,,
RJPQ,RUFFLES JAMON B.PEQ 45GR,0,,
RTB84,ROLLO TERMICO BLANCO,0,,
SAL6,ME SALSERA ECOP. 60 ML,0,,
SBBQB,SALSA BARBACOA BOLSA,0,,
SBREAP,SOBRES ACEITE PICANTE 300,0,,
SC,TARRINA SALSA BARBACOA,0,,
SCBU,SEPARADOR CAJA BURGER,0,,
SCCE,ME SALSA CREMOSA CEBOLLINO,0,,
SCCRE,ME SALSA CREMOSA,0,,
SCHB,SALSA CHOCOLATE BOTELLA,0,,
SEMA,SEMOLA MALTEADA 600 GR,0,,
SLCM,SALSA CURRY MANGO,0,,
SMAK,STICK MACADAMIA 80 ML,0,,
SMAY,ME SALSA MAYO,0,,
SMAYO,SALSA MAYONESA TRUFA 875ML,0,,
SMED,ME SALSA MEDITERRANEA,0,,
SMIE,ME SALSA MIEL MOSTAZA 32X40GR,0,,
SPCMB,SEPARADOR COMBO 2022,0,,
SPES,SALSA PESTO,0,,
SPIST,SALSA DE PISTACHO BOTELLA,0,,
SQUE,ME SALSA QUESABROSA,0,,
SSTEAK,SALSA STEAK & GRILL,0,,
STC4,TARRINA STRAW CHEESECAKE 460ML,0,,
STRI,ME STRIPS DE POLLO 6X1KG,0,,
T125,TARRO 1,0,,
TAP6,TAPA SALSERA ECOP. 60 ML,0,,
TCHC,TARRINA STRAWBERRY CHEESECAKE 95ML,0,,
TCHM,TOMATE CHERRY MITAD,0,,
TKSALSA,SALSA KEBAB,0,,
TMIMOS,TARRINA MIEL Y MOSTAZA,0,,
TMOR,TARRINA DE MORCILLA,0,,
TOMCNF,TOMATE CONFITADO CUBO,0,,
TPOTI,TOPPING DE POLLO EN TIRAS,0,,
TSCREM,TARRINA CREMOSA AL AJO,0,,
TSIR,TRIANGULO SIRATCHA,0,,
TTCM,TARRINA TOMATE CONFITADO,0,,
YOFP,YOGIKIDS POUCH FRESA-PLATANO,0,,
YOFR,YOGIKIDS POUCH FRESA,0,,
